iter	Passed	Remaining
0	239	239623
1	332	165877
2	430	143202
3	530	132100
4	608	121003
5	661	109506
6	750	106484
7	836	103742
8	941	103657
9	1007	99748
10	11	1143	94111	12	1217	92412	13	1303	91813	1354	95366
14	1431	94006
15	1531	94196
16	1635	94572
17	1714	93550
18	1788	92359
19	1884	92342
20	21	1980	88021	2041	90747
22	2156	91585
23	2268	92266
24	2389	93198
25	2501	93715
26	2560	92273
27	2689	93349
28	2747	92000
29	2862	92569
30	2905	90834
31	2977	90066
32	3060	89690
33	3150	89500
34	3215	88645
35	36	3315	86236	37	3414	86437	3457	87518
38	3533	87076
39	3620	86891
40	3718	86972
41	3820	87151
42	3909	87017
43	4001	86943
44	4073	86445
45	4148	86038
46	4246	86102
47	4308	85459
48	49	4425	84049	4493	85371
50	4594	85485
51	52	4714	84252	53	4793	83953	54	4868	83654	55	4949	83455	5004	84361
56	5081	84073
57	5197	84409
58	5255	83820
59	60	5360	82560	5434	83657
61	5522	83545
62	5641	83902
63	5710	83518
64	5772	83039
65	5866	83014
66	5934	82644
67	6000	82243
68	6057	81738
69	6128	81424
70	6192	81028
71	6255	80630
72	6335	80452
73	6391	79974
74	6493	80080
75	6553	79679
76	77	6675	78977	78	6753	78778	79	6843	78779	80	6951	78880	81	7016	78581	82	7128	78758
83	7189	78403
84	7260	78184	85	7328	77885	86	7415	77821
87	7509	77828
88	7593	77726
89	7688	77739
90	7775	77666
91	7852	77505
92	7897	77092	93	7987	76993	94	8040	76594	95	8125	76595	96	8208	76496	97	8304	76497	98	8411	76598	99	8511	76607
100	8594	76500
101	8680	76424
102	8768	76365
103	8847	76223
104	8964	76410
105	9048	76310
106	9115	76079
107	9235	76277
108	9337	76330
109	9442	76399
110	9551	76495
111	9651	76523
112	9758	76596
113	9879	76781
114	9975	76766
115	10077	76800
116	10118	76361
117	10187	76150
118	10282	76122
119	10344	75860
120	10422	75710
121	10498	75551
122	10608	75639
123	10667	75360
124	10744	75213
125	10833	75143
126	10912	75011
127	10984	74832
128	11040	74548
129	11141	74561
130	11214	74390
131	11261	74054
132	11338	73913
133	11396	73654
134	11466	73469
135	11530	73251
136	11635	73297
137	11698	73074
138	11793	73052
139	11890	73040
140	11976	72961
141	12055	72843
142	12124	72664
143	12201	72531
144	12273	72368
145	12358	72289
146	12465	72336
147	12559	72300
148	12639	72187
149	12735	72165
150	12823	72101
151	12908	72013
152	12995	71940
153	13068	71792
154	13147	71675
155	13243	71649
156	13323	71537
157	13421	71527
158	13495	71382
159	13585	71325
160	13657	71169
161	13725	71001
162	13845	71093
163	13957	71147
164	14046	71085
165	14118	70930
166	14181	70736
167	14275	70695
168	14367	70646
169	14464	70620
170	14531	70449
171	14594	70259
172	14695	70250
173	14812	70316
174	14915	70315
175	15046	70445
176	15120	70305
177	15184	70121
178	15253	69961
179	15335	69862
180	15454	69927
181	15534	69818
182	15626	69762
183	15726	69745
184	15782	69529
185	15857	69397
186	15972	69441
187	16041	69283
188	16117	69160
189	16183	68992
190	16271	68920
191	16325	68701
192	16385	68513
193	16451	68351
194	16542	68290
195	16593	68065
196	16664	67926
197	16742	67814
198	16805	67642
199	16906	67625
200	16988	67533
201	17088	67508
202	17160	67372
203	17240	67271
204	17297	67081
205	17371	66956
206	17463	66901
207	17562	66871
208	17664	66854
209	17767	66841
210	17834	66688
211	17919	66607
212	17956	66347
213	18031	66226
214	18098	66082
215	18206	66083
216	18268	65918
217	18338	65781
218	18443	65771
219	18537	65725
220	18631	65672
221	18707	65562
222	18780	65437
223	18886	65429
224	18974	65357
225	19043	65219
226	19112	227	19227	19199	228	19228	19282	229	19229	19382	230	19230	19458	231	19231	19549	232	19232	19615	233	19233	19706	234	19234	19776	235	19235	19879	236	19236	19985	237	20237	20054	238	20238	20121	239	20222	64037
240	20308	63958
241	20382	63843
242	20461	637424243	20540	636424244	20620	635424245	20710	634724246	20246	208024247	20878	633024248	20248	20995	249	21249	210724250	21125	630325251	21251	212125252	21252	2127252	21348	63034
253	21459	63026
254	21555	62975
